pertanyaan;jawaban;kategori
mengapa saya tidak mendapatkan kuota dari kemdikbud?;Silahkan kunjungi https//pddikti.kemdikbud.go.id/ lalu pilih verifikasi nomor HP;Fasilitas
saya belum dapat internet belajar kemendikbud?;Silahkan kunjungi https//pddikti.kemdikbud.go.id/ lalu pilih verifikasi nomor HP;Fasilitas
saya sudah input nomer hp saya, tetapi kenapa saya tidak mendapatkan kuota belajar?;Silahkan kunjungi https//pddikti.kemdikbud.go.id/ lalu pilih verifikasi nomor HP;Fasilitas
Apa mahasiswa UPN mendapat potongan biaya tes toefl di UPT Bahasa?;"Lembaga Bahasa dan Budaya dan Pengembangan Media (LAPSA) UPN Veteran Yogyakarta terletak di kampus babarsari. Kamu bisa melakukan test TOEFL disini lho! Untuk mahasiswa UPNVY, biaya pendaftaran tes adalah Rp 50.000. Sementara bagi mahasiswa non-UPNVY, bersiaplah untuk mengeluarkan uang sebesar Rp 100.000 ya!
LAPSA ini memiliki banyak kegiatan, lho! Dari TOEFL untuk mahasiswa UPNVY dan masyarakat luas, ada juga program edutainment untuk anak TK dan SD, dan penerjemah bahasa Inggris maupun bahasa Indonesia. LAPSA juga melayani kursus bahasa Inggris dan bahasa Jepang. Kursus ini bisa dilakukan baik privat/individu maupun kelompok, lho! Beberapa fasilitas yang ditawarkan LAPSA, diantaranya Laboratorium Audio dengan kapasitas 30 orang dan Laboratorium Multi Media. Selain itu, laboratorium ini juga menerima kursus bahasa Inggris. Misi pembangunannya adalah untuk memberikan pelatihan bahasa asing ke civitas akademika dan masyarakat umum.";Fasilitas
Apa UPT Bahasa menyediakan fasilitas [belajar|les] toefl?;"Lembaga Bahasa dan Budaya dan Pengembangan Media (LAPSA) UPN Veteran Yogyakarta terletak di kampus babarsari. Kamu bisa melakukan test TOEFL disini lho! Untuk mahasiswa UPNVY, biaya pendaftaran tes adalah Rp 50.000. Sementara bagi mahasiswa non-UPNVY, bersiaplah untuk mengeluarkan uang sebesar Rp 100.000 ya!
LAPSA ini memiliki banyak kegiatan, lho! Dari TOEFL untuk mahasiswa UPNVY dan masyarakat luas, ada juga program edutainment untuk anak TK dan SD, dan penerjemah bahasa Inggris maupun bahasa Indonesia. LAPSA juga melayani kursus bahasa Inggris dan bahasa Jepang. Kursus ini bisa dilakukan baik privat/individu maupun kelompok, lho! Beberapa fasilitas yang ditawarkan LAPSA, diantaranya Laboratorium Audio dengan kapasitas 30 orang dan Laboratorium Multi Media. Selain itu, laboratorium ini juga menerima kursus bahasa Inggris. Misi pembangunannya adalah untuk memberikan pelatihan bahasa asing ke civitas akademika dan masyarakat umum.";Fasilitas
Apa UPT Bahasa menyediakan sertifikat tes Bahasa Inggris selain toefl?;"Lembaga Bahasa dan Budaya dan Pengembangan Media (LAPSA) UPN Veteran Yogyakarta terletak di kampus babarsari. Kamu bisa melakukan test TOEFL disini lho! Untuk mahasiswa UPNVY, biaya pendaftaran tes adalah Rp 50.000. Sementara bagi mahasiswa non-UPNVY, bersiaplah untuk mengeluarkan uang sebesar Rp 100.000 ya!
LAPSA ini memiliki banyak kegiatan, lho! Dari TOEFL untuk mahasiswa UPNVY dan masyarakat luas, ada juga program edutainment untuk anak TK dan SD, dan penerjemah bahasa Inggris maupun bahasa Indonesia. LAPSA juga melayani kursus bahasa Inggris dan bahasa Jepang. Kursus ini bisa dilakukan baik privat/individu maupun kelompok, lho! Beberapa fasilitas yang ditawarkan LAPSA, diantaranya Laboratorium Audio dengan kapasitas 30 orang dan Laboratorium Multi Media. Selain itu, laboratorium ini juga menerima kursus bahasa Inggris. Misi pembangunannya adalah untuk memberikan pelatihan bahasa asing ke civitas akademika dan masyarakat umum.";Fasilitas
Berapa biaya untuk tes toefl di kampus atau UPT Bahasa atau gratis?;"Lembaga Bahasa dan Budaya dan Pengembangan Media (LAPSA) UPN Veteran Yogyakarta terletak di kampus babarsari. Kamu bisa melakukan test TOEFL disini lho! Untuk mahasiswa UPNVY, biaya pendaftaran tes adalah Rp 50.000. Sementara bagi mahasiswa non-UPNVY, bersiaplah untuk mengeluarkan uang sebesar Rp 100.000 ya!
LAPSA ini memiliki banyak kegiatan, lho! Dari TOEFL untuk mahasiswa UPNVY dan masyarakat luas, ada juga program edutainment untuk anak TK dan SD, dan penerjemah bahasa Inggris maupun bahasa Indonesia. LAPSA juga melayani kursus bahasa Inggris dan bahasa Jepang. Kursus ini bisa dilakukan baik privat/individu maupun kelompok, lho! Beberapa fasilitas yang ditawarkan LAPSA, diantaranya Laboratorium Audio dengan kapasitas 30 orang dan Laboratorium Multi Media. Selain itu, laboratorium ini juga menerima kursus bahasa Inggris. Misi pembangunannya adalah untuk memberikan pelatihan bahasa asing ke civitas akademika dan masyarakat umum.";Fasilitas
Dimana lokasi UPT Bahasa UPN Jogja?;"Lembaga Bahasa dan Budaya dan Pengembangan Media (LAPSA) UPN Veteran Yogyakarta terletak di kampus babarsari. Kamu bisa melakukan test TOEFL disini lho! Untuk mahasiswa UPNVY, biaya pendaftaran tes adalah Rp 50.000. Sementara bagi mahasiswa non-UPNVY, bersiaplah untuk mengeluarkan uang sebesar Rp 100.000 ya!
LAPSA ini memiliki banyak kegiatan, lho! Dari TOEFL untuk mahasiswa UPNVY dan masyarakat luas, ada juga program edutainment untuk anak TK dan SD, dan penerjemah bahasa Inggris maupun bahasa Indonesia. LAPSA juga melayani kursus bahasa Inggris dan bahasa Jepang. Kursus ini bisa dilakukan baik privat/individu maupun kelompok, lho! Beberapa fasilitas yang ditawarkan LAPSA, diantaranya Laboratorium Audio dengan kapasitas 30 orang dan Laboratorium Multi Media. Selain itu, laboratorium ini juga menerima kursus bahasa Inggris. Misi pembangunannya adalah untuk memberikan pelatihan bahasa asing ke civitas akademika dan masyarakat umum.";Fasilitas
gais, ada yang tau ga kalo mau tes toefl di lab upt bahasa upn gimana caranya?;"Lembaga Bahasa dan Budaya dan Pengembangan Media (LAPSA) UPN Veteran Yogyakarta terletak di kampus babarsari. Kamu bisa melakukan test TOEFL disini lho! Untuk mahasiswa UPNVY, biaya pendaftaran tes adalah Rp 50.000. Sementara bagi mahasiswa non-UPNVY, bersiaplah untuk mengeluarkan uang sebesar Rp 100.000 ya!
LAPSA ini memiliki banyak kegiatan, lho! Dari TOEFL untuk mahasiswa UPNVY dan masyarakat luas, ada juga program edutainment untuk anak TK dan SD, dan penerjemah bahasa Inggris maupun bahasa Indonesia. LAPSA juga melayani kursus bahasa Inggris dan bahasa Jepang. Kursus ini bisa dilakukan baik privat/individu maupun kelompok, lho! Beberapa fasilitas yang ditawarkan LAPSA, diantaranya Laboratorium Audio dengan kapasitas 30 orang dan Laboratorium Multi Media. Selain itu, laboratorium ini juga menerima kursus bahasa Inggris. Misi pembangunannya adalah untuk memberikan pelatihan bahasa asing ke civitas akademika dan masyarakat umum.";Fasilitas
ada yang punya soal uts/uas tahun lalu?;https://perpus.ifupnyk.or.id/;Fasilitas
bagi soal-soal ujian tahun sebelumnya ada?;https://perpus.ifupnyk.or.id/;Fasilitas
perpus materi bahan perkuliahan informatika teori informatika (if).;https://perpus.ifupnyk.or.id/;Fasilitas
dimana saya bisa mendapatkan bahan materi perkuliahan sistem informasi?;https://himasisfo.fti.upnyk.ac.id/bank-soal/;Fasilitas
kumpulan catatan teori SI.;https://himasisfo.fti.upnyk.ac.id/bank-soal/;Fasilitas
perpus catatan materi sistem informasi.;https://himasisfo.fti.upnyk.ac.id/bank-soal/;Fasilitas
jam kerja kampus pusat !;"Jam layanan UPT Perpustakaan UPN Veteran Yogyakarta adalah  sebagai berikut :
PELAYANAN SIRKULASI
 a.  Senin s/d Kamis : pukul ( 08.00 ? 16.00) WIB
 b. Jum?at : pukul (08.00 ? 16.00)WIB
 

PELAYANAN RUANG BACA DAN REFERENSI
a. Senin s/d Kamis : pukul ( 08.00 ? 16.00) WIB
b. Jum?at : pukul (08.00 ? 16.00)WIB
 

PELAYANAN RUANG PENELUSURAN
a. Senin s/d Kamis : pukul ( 08.00 ? 16.00) WIB
b. Jum?at : pukul (08.00 ?16.00)WIB";Fasilitas
perpus univ tiap hari apa bukanya?;"Jam layanan UPT Perpustakaan UPN Veteran Yogyakarta adalah  sebagai berikut :
PELAYANAN SIRKULASI
 a.  Senin s/d Kamis : pukul ( 08.00 ? 16.00) WIB
 b. Jum?at : pukul (08.00 ? 16.00)WIB
 

PELAYANAN RUANG BACA DAN REFERENSI
a. Senin s/d Kamis : pukul ( 08.00 ? 16.00) WIB
b. Jum?at : pukul (08.00 ? 16.00)WIB
 

PELAYANAN RUANG PENELUSURAN
a. Senin s/d Kamis : pukul ( 08.00 ? 16.00) WIB
b. Jum?at : pukul (08.00 ?16.00)WIB";Fasilitas
perpustakaan universitas buka belum?;"Jam layanan UPT Perpustakaan UPN Veteran Yogyakarta adalah  sebagai berikut :
PELAYANAN SIRKULASI
 a.  Senin s/d Kamis : pukul ( 08.00 ? 16.00) WIB
 b. Jum?at : pukul (08.00 ? 16.00)WIB
 

PELAYANAN RUANG BACA DAN REFERENSI
a. Senin s/d Kamis : pukul ( 08.00 ? 16.00) WIB
b. Jum?at : pukul (08.00 ? 16.00)WIB
 

PELAYANAN RUANG PENELUSURAN
a. Senin s/d Kamis : pukul ( 08.00 ? 16.00) WIB
b. Jum?at : pukul (08.00 ?16.00)WIB";Fasilitas
dimana alamat perpus kampus 1?;Jl. Padjajaran Condongcatur, Sleman, Daerah Istimewa Yogyakarta;Fasilitas
lokasi Pepustakaan Pusat!;Jl. Padjajaran Condongcatur, Sleman, Daerah Istimewa Yogyakarta;Fasilitas
jam operasional perpustakaan fti!;Perpustakaan FTI Senin-Jumat pukul 08.00 - 19.00, Sabtu 08.00 - 12.00;Fasilitas
perpustakaan fakultas tutup kapan?;Perpustakaan FTI Senin-Jumat pukul 08.00 - 19.00, Sabtu 08.00 - 12.00;Fasilitas
Perpus kampus II udah buka belum ya?;Perpustakaan FTI Senin-Jumat pukul 08.00 - 19.00, Sabtu 08.00 - 12.00 ;Fasilitas
karya ilmiah yang dapat digunakan untuk sumber penelitian dapat diperoleh dari mana?;"Sumber Informasi Di Luar Lingkungan UPN Veteran Yogyakarta
1. RAMA Repository
Alamat website : http://rama.ristekbrin.go.id/
RAMA merupakan repository nasional yang berisi laporan penelitian (tugas akhir, skripsi, tesis dan disertasi) yang bukan merupakan publikasi di jurnal ilmiah.
Rama repository terintegrasi dengan data repository yang diizinkan diakses dari repository perguruan tinggi dan lembaga penelitian di Indonesia yang telah terdaftar ke RAMA Repository. (Ristekdikti 2019)
2. GARUDA  (Garba Rujukan Digital)
Alamat website : http://garuda.ristekbrin.go.id/
Merupakan repository artikel jurnal nasional Indonesia
Garuda menyediakan metadata publikasi nasional Indoensia, penelusuran artikel ilmiah jurnal dan prosiding nasional
Tersedia download artikel secara fulltext
3. SINTA (Science and Technology Index)
Alamat Website : http://sinta.ristekbrin.go.id/
SINTA merupakan situs yang dibangun Kemenristekdikti (Sekarang Kemenristekdikti/Brin) yang memberikan akses terkait sitasi dan direktori profil para ahli/peneliti di Indonesia di berbagai bidang keilmuan.
SINTA menyediakan informasi untuk mengukur kinerja peneliti, lembaga dan jurnal di Indonesia.
SINTA memberikan tolok ukur dan analisis, identifikasi kekuatan penelitian masing-masing lembaga untuk mengembangkan kemitraan, kolaboratif  di antara lembaga
SINTA juga memberikan analisis tren penelitian (Ristekdikti 2019)
4. iPusnas
Merupakan aplikasi perpustakaan digital persembahan Perpustakaan Nasional Republik Indonesia.
Aplikasi ini menyediakan koleksi ebook yang bisa dipinjam selama beberapa waktu.
Civitas bisa mendownload aplikasi iPusnas di App Store dan/ Play Store kemudian melakukan register, dengan keyword iPusnas
5. E-Resources Perpusnas RI
Alamat website : http://e-resources.perpusnas.go.id/
Merupakan portal untuk mengakses bahan perpustakan digital yang dilanggan oleh Perpusnas RI
Untuk bisa mengakses fasilitas ini, civitas harus melakukan registrasi dan memiliki nomor keangotaan yang resmi. Fasilitas keanggotaan bisa diakses di http://keanggotaan.perpusnas.go.id.
6. DOAJ.org
Memuat Artikel jurnal internasional dan nasional yang bersifat open Acces
7.ScienceDirect dari Elsevier
Database E-Journal ScienceDirect dari Elsevier memuat berbagai artikel jurnal disiplin ilmu mulai dr Teknik, Agriculture, Kesehatan hingga Sosial Science, Bisnis, Management, Accounting ada semuanya.
Akses dengan Jaringan kampus tanpa username dan password atau login dengan Email institusi
8. E-jounal Wiley
Akses E-Journal Wiley juga sudah aktif, silahkan diakses melalui jaringan kampus, gratis dan fulltext atau login dengan Email institusi.
9.ejournal ProQuest
Ini baru beberapa jurnal elektronik yg dilanggan #upnvy. Mau tau lebih banyak lagi kunjungi saja https://search.proquest.com gratis menggunakan wifi kampus atau silahkan meminta username dan password untuk mengaksesnya diluar jaringan internet kampus.
Database ejournal ProQuest sudah aktif untuk akses di UPN Veteran Yogyakarta. Subjek yang dilanggan antara lain:
ABI/INFORM Global (Ekonomi dan Bisnis)
Agricultural Science Database (Pertanian)
Engineering Database (Teknik)
Research Library (Multidisiplin Ilmu)
Akses tanpa username/password dapat dilakukan melalui jaringan di kampus dengan url : www.proquest.com
Akses diluar kampus melalui url: www.proquest.com/login
Username dan password silahkan menghubungi pustakawan
10. ipusnas.id dan ijogja.id.
Referensi tambahan ebook gratis, dapat di download di playstore. Untuk informasi lebih lanjut ipusnas.id dan ijogja.id.";Fasilitas
referensi jurnal internasional yang disediakan UPN?;"Sumber Informasi Di Luar Lingkungan UPN Veteran Yogyakarta
1. RAMA Repository
Alamat website : http://rama.ristekbrin.go.id/
RAMA merupakan repository nasional yang berisi laporan penelitian (tugas akhir, skripsi, tesis dan disertasi) yang bukan merupakan publikasi di jurnal ilmiah.
Rama repository terintegrasi dengan data repository yang diizinkan diakses dari repository perguruan tinggi dan lembaga penelitian di Indonesia yang telah terdaftar ke RAMA Repository. (Ristekdikti 2019)
2. GARUDA  (Garba Rujukan Digital)
Alamat website : http://garuda.ristekbrin.go.id/
Merupakan repository artikel jurnal nasional Indonesia
Garuda menyediakan metadata publikasi nasional Indoensia, penelusuran artikel ilmiah jurnal dan prosiding nasional
Tersedia download artikel secara fulltext
3. SINTA (Science and Technology Index)
Alamat Website : http://sinta.ristekbrin.go.id/
SINTA merupakan situs yang dibangun Kemenristekdikti (Sekarang Kemenristekdikti/Brin) yang memberikan akses terkait sitasi dan direktori profil para ahli/peneliti di Indonesia di berbagai bidang keilmuan.
SINTA menyediakan informasi untuk mengukur kinerja peneliti, lembaga dan jurnal di Indonesia.
SINTA memberikan tolok ukur dan analisis, identifikasi kekuatan penelitian masing-masing lembaga untuk mengembangkan kemitraan, kolaboratif  di antara lembaga
SINTA juga memberikan analisis tren penelitian (Ristekdikti 2019)
4. iPusnas
Merupakan aplikasi perpustakaan digital persembahan Perpustakaan Nasional Republik Indonesia.
Aplikasi ini menyediakan koleksi ebook yang bisa dipinjam selama beberapa waktu.
Civitas bisa mendownload aplikasi iPusnas di App Store dan/ Play Store kemudian melakukan register, dengan keyword iPusnas
5. E-Resources Perpusnas RI
Alamat website : http://e-resources.perpusnas.go.id/
Merupakan portal untuk mengakses bahan perpustakan digital yang dilanggan oleh Perpusnas RI
Untuk bisa mengakses fasilitas ini, civitas harus melakukan registrasi dan memiliki nomor keangotaan yang resmi. Fasilitas keanggotaan bisa diakses di http://keanggotaan.perpusnas.go.id.
6. DOAJ.org
Memuat Artikel jurnal internasional dan nasional yang bersifat open Acces
7.ScienceDirect dari Elsevier
Database E-Journal ScienceDirect dari Elsevier memuat berbagai artikel jurnal disiplin ilmu mulai dr Teknik, Agriculture, Kesehatan hingga Sosial Science, Bisnis, Management, Accounting ada semuanya.
Akses dengan Jaringan kampus tanpa username dan password atau login dengan Email institusi
8. E-jounal Wiley
Akses E-Journal Wiley juga sudah aktif, silahkan diakses melalui jaringan kampus, gratis dan fulltext atau login dengan Email institusi.
9.ejournal ProQuest
Ini baru beberapa jurnal elektronik yg dilanggan #upnvy. Mau tau lebih banyak lagi kunjungi saja https://search.proquest.com gratis menggunakan wifi kampus atau silahkan meminta username dan password untuk mengaksesnya diluar jaringan internet kampus.
Database ejournal ProQuest sudah aktif untuk akses di UPN Veteran Yogyakarta. Subjek yang dilanggan antara lain:
ABI/INFORM Global (Ekonomi dan Bisnis)
Agricultural Science Database (Pertanian)
Engineering Database (Teknik)
Research Library (Multidisiplin Ilmu)
Akses tanpa username/password dapat dilakukan melalui jaringan di kampus dengan url : www.proquest.com
Akses diluar kampus melalui url: www.proquest.com/login
Username dan password silahkan menghubungi pustakawan
10. ipusnas.id dan ijogja.id.
Referensi tambahan ebook gratis, dapat di download di playstore. Untuk informasi lebih lanjut ipusnas.id dan ijogja.id.";Fasilitas
Sumber informasi ilmiah rujukan online yang di fasilitasi kampus?;"Sumber Informasi Di Luar Lingkungan UPN Veteran Yogyakarta
1. RAMA Repository
Alamat website : http://rama.ristekbrin.go.id/
RAMA merupakan repository nasional yang berisi laporan penelitian (tugas akhir, skripsi, tesis dan disertasi) yang bukan merupakan publikasi di jurnal ilmiah.
Rama repository terintegrasi dengan data repository yang diizinkan diakses dari repository perguruan tinggi dan lembaga penelitian di Indonesia yang telah terdaftar ke RAMA Repository. (Ristekdikti 2019)
2. GARUDA  (Garba Rujukan Digital)
Alamat website : http://garuda.ristekbrin.go.id/
Merupakan repository artikel jurnal nasional Indonesia
Garuda menyediakan metadata publikasi nasional Indoensia, penelusuran artikel ilmiah jurnal dan prosiding nasional
Tersedia download artikel secara fulltext
3. SINTA (Science and Technology Index)
Alamat Website : http://sinta.ristekbrin.go.id/
SINTA merupakan situs yang dibangun Kemenristekdikti (Sekarang Kemenristekdikti/Brin) yang memberikan akses terkait sitasi dan direktori profil para ahli/peneliti di Indonesia di berbagai bidang keilmuan.
SINTA menyediakan informasi untuk mengukur kinerja peneliti, lembaga dan jurnal di Indonesia.
SINTA memberikan tolok ukur dan analisis, identifikasi kekuatan penelitian masing-masing lembaga untuk mengembangkan kemitraan, kolaboratif  di antara lembaga
SINTA juga memberikan analisis tren penelitian (Ristekdikti 2019)
4. iPusnas
Merupakan aplikasi perpustakaan digital persembahan Perpustakaan Nasional Republik Indonesia.
Aplikasi ini menyediakan koleksi ebook yang bisa dipinjam selama beberapa waktu.
Civitas bisa mendownload aplikasi iPusnas di App Store dan/ Play Store kemudian melakukan register, dengan keyword iPusnas
5. E-Resources Perpusnas RI
Alamat website : http://e-resources.perpusnas.go.id/
Merupakan portal untuk mengakses bahan perpustakan digital yang dilanggan oleh Perpusnas RI
Untuk bisa mengakses fasilitas ini, civitas harus melakukan registrasi dan memiliki nomor keangotaan yang resmi. Fasilitas keanggotaan bisa diakses di http://keanggotaan.perpusnas.go.id.
6. DOAJ.org
Memuat Artikel jurnal internasional dan nasional yang bersifat open Acces
7.ScienceDirect dari Elsevier
Database E-Journal ScienceDirect dari Elsevier memuat berbagai artikel jurnal disiplin ilmu mulai dr Teknik, Agriculture, Kesehatan hingga Sosial Science, Bisnis, Management, Accounting ada semuanya.
Akses dengan Jaringan kampus tanpa username dan password atau login dengan Email institusi
8. E-jounal Wiley
Akses E-Journal Wiley juga sudah aktif, silahkan diakses melalui jaringan kampus, gratis dan fulltext atau login dengan Email institusi.
9.ejournal ProQuest
Ini baru beberapa jurnal elektronik yg dilanggan #upnvy. Mau tau lebih banyak lagi kunjungi saja https://search.proquest.com gratis menggunakan wifi kampus atau silahkan meminta username dan password untuk mengaksesnya diluar jaringan internet kampus.
Database ejournal ProQuest sudah aktif untuk akses di UPN Veteran Yogyakarta. Subjek yang dilanggan antara lain:
ABI/INFORM Global (Ekonomi dan Bisnis)
Agricultural Science Database (Pertanian)
Engineering Database (Teknik)
Research Library (Multidisiplin Ilmu)
Akses tanpa username/password dapat dilakukan melalui jaringan di kampus dengan url : www.proquest.com
Akses diluar kampus melalui url: www.proquest.com/login
Username dan password silahkan menghubungi pustakawan
10. ipusnas.id dan ijogja.id.
Referensi tambahan ebook gratis, dapat di download di playstore. Untuk informasi lebih lanjut ipusnas.id dan ijogja.id.";Fasilitas
website untuk mencari jurnal rujukan penelitian dimana saja? ;"Sumber Informasi Di Luar Lingkungan UPN Veteran Yogyakarta
1. RAMA Repository
Alamat website : http://rama.ristekbrin.go.id/
RAMA merupakan repository nasional yang berisi laporan penelitian (tugas akhir, skripsi, tesis dan disertasi) yang bukan merupakan publikasi di jurnal ilmiah.
Rama repository terintegrasi dengan data repository yang diizinkan diakses dari repository perguruan tinggi dan lembaga penelitian di Indonesia yang telah terdaftar ke RAMA Repository. (Ristekdikti 2019)
2. GARUDA  (Garba Rujukan Digital)
Alamat website : http://garuda.ristekbrin.go.id/
Merupakan repository artikel jurnal nasional Indonesia
Garuda menyediakan metadata publikasi nasional Indoensia, penelusuran artikel ilmiah jurnal dan prosiding nasional
Tersedia download artikel secara fulltext
3. SINTA (Science and Technology Index)
Alamat Website : http://sinta.ristekbrin.go.id/
SINTA merupakan situs yang dibangun Kemenristekdikti (Sekarang Kemenristekdikti/Brin) yang memberikan akses terkait sitasi dan direktori profil para ahli/peneliti di Indonesia di berbagai bidang keilmuan.
SINTA menyediakan informasi untuk mengukur kinerja peneliti, lembaga dan jurnal di Indonesia.
SINTA memberikan tolok ukur dan analisis, identifikasi kekuatan penelitian masing-masing lembaga untuk mengembangkan kemitraan, kolaboratif  di antara lembaga
SINTA juga memberikan analisis tren penelitian (Ristekdikti 2019)
4. iPusnas
Merupakan aplikasi perpustakaan digital persembahan Perpustakaan Nasional Republik Indonesia.
Aplikasi ini menyediakan koleksi ebook yang bisa dipinjam selama beberapa waktu.
Civitas bisa mendownload aplikasi iPusnas di App Store dan/ Play Store kemudian melakukan register, dengan keyword iPusnas
5. E-Resources Perpusnas RI
Alamat website : http://e-resources.perpusnas.go.id/
Merupakan portal untuk mengakses bahan perpustakan digital yang dilanggan oleh Perpusnas RI
Untuk bisa mengakses fasilitas ini, civitas harus melakukan registrasi dan memiliki nomor keangotaan yang resmi. Fasilitas keanggotaan bisa diakses di http://keanggotaan.perpusnas.go.id.
6. DOAJ.org
Memuat Artikel jurnal internasional dan nasional yang bersifat open Acces
7.ScienceDirect dari Elsevier
Database E-Journal ScienceDirect dari Elsevier memuat berbagai artikel jurnal disiplin ilmu mulai dr Teknik, Agriculture, Kesehatan hingga Sosial Science, Bisnis, Management, Accounting ada semuanya.
Akses dengan Jaringan kampus tanpa username dan password atau login dengan Email institusi
8. E-jounal Wiley
Akses E-Journal Wiley juga sudah aktif, silahkan diakses melalui jaringan kampus, gratis dan fulltext atau login dengan Email institusi.
9.ejournal ProQuest
Ini baru beberapa jurnal elektronik yg dilanggan #upnvy. Mau tau lebih banyak lagi kunjungi saja https://search.proquest.com gratis menggunakan wifi kampus atau silahkan meminta username dan password untuk mengaksesnya diluar jaringan internet kampus.
Database ejournal ProQuest sudah aktif untuk akses di UPN Veteran Yogyakarta. Subjek yang dilanggan antara lain:
ABI/INFORM Global (Ekonomi dan Bisnis)
Agricultural Science Database (Pertanian)
Engineering Database (Teknik)
Research Library (Multidisiplin Ilmu)
Akses tanpa username/password dapat dilakukan melalui jaringan di kampus dengan url : www.proquest.com
Akses diluar kampus melalui url: www.proquest.com/login
Username dan password silahkan menghubungi pustakawan
10. ipusnas.id dan ijogja.id.
Referensi tambahan ebook gratis, dapat di download di playstore. Untuk informasi lebih lanjut ipusnas.id dan ijogja.id.";Fasilitas
TA/Tugas Akhir kakak tingkat di publikasi dimana?;"Sumber Informasi Perpustakaan UPN Veteran Yogyakarta
1. Kubuku.id
https://kubuku.id/download/UPN Veteran Yogyakarta/ Aplikasi yg berisi buku2 elektronik, semoga bermanfaat.
2. OPAC Katalog Perpustakaan
Alamat website :http://opac.upnyk.ac.id/libsys_master/opac/
Merupakan portal online public access catalogue (OPAC) perpustakaan di lingkungan upnyk
Terdiri dari katalog dari 17 unit kerja dan Perpustakaan Pusat upnyk
3. Repository upnyk
Alamat Website : http://eprints.upnyk.ac.id/
Merupakan website yang berisi kumpulan karya ilmiah berupa skripsi, tesis dan disertasi dalam bentuk elektronik.
Repository upnyk sudah terindeks di situs Repository Nasional di bawah Ristekbrin dengan alamat http://rama.ristekbrin.go.id/
4. Jurnal upnyk
Alamat website : http://jurnal.upnyk.ac.id/
Merupakan portal kumpulan jurnal yang diterbitkan di lingkungan UPN Veteran Yogyakarta dan sudah berbasis OJS (Open Journal System).";Fasilitas
apa website yang kumpulan karya ilmiah skripsi, tesis dan disertasi?;"Sumber Informasi Perpustakaan UPN Veteran Yogyakarta
1. Kubuku.id
https://kubuku.id/download/UPN Veteran Yogyakarta/ Aplikasi yg berisi buku2 elektronik, semoga bermanfaat.
2. OPAC Katalog Perpustakaan
Alamat website :http://opac.upnyk.ac.id/libsys_master/opac/
Merupakan portal online public access catalogue (OPAC) perpustakaan di lingkungan upnyk
Terdiri dari katalog dari 17 unit kerja dan Perpustakaan Pusat upnyk
3. Repository upnyk
Alamat Website : http://eprints.upnyk.ac.id/
Merupakan website yang berisi kumpulan karya ilmiah berupa skripsi, tesis dan disertasi dalam bentuk elektronik.
Repository upnyk sudah terindeks di situs Repository Nasional di bawah Ristekbrin dengan alamat http://rama.ristekbrin.go.id/
4. Jurnal upnyk
Alamat website : http://jurnal.upnyk.ac.id/
Merupakan portal kumpulan jurnal yang diterbitkan di lingkungan UPN Veteran Yogyakarta dan sudah berbasis OJS (Open Journal System).";Fasilitas
dimana kami dapat melihat judul-judul skripsi kating?;"Sumber Informasi Perpustakaan UPN Veteran Yogyakarta
1. Kubuku.id
https://kubuku.id/download/UPN Veteran Yogyakarta/ Aplikasi yg berisi buku2 elektronik, semoga bermanfaat.
2. OPAC Katalog Perpustakaan
Alamat website :http://opac.upnyk.ac.id/libsys_master/opac/
Merupakan portal online public access catalogue (OPAC) perpustakaan di lingkungan upnyk
Terdiri dari katalog dari 17 unit kerja dan Perpustakaan Pusat upnyk
3. Repository upnyk
Alamat Website : http://eprints.upnyk.ac.id/
Merupakan website yang berisi kumpulan karya ilmiah berupa skripsi, tesis dan disertasi dalam bentuk elektronik.
Repository upnyk sudah terindeks di situs Repository Nasional di bawah Ristekbrin dengan alamat http://rama.ristekbrin.go.id/
4. Jurnal upnyk
Alamat website : http://jurnal.upnyk.ac.id/
Merupakan portal kumpulan jurnal yang diterbitkan di lingkungan UPN Veteran Yogyakarta dan sudah berbasis OJS (Open Journal System).";Fasilitas
link Repository Penelitian UPN!;"Sumber Informasi Perpustakaan UPN Veteran Yogyakarta
1. Kubuku.id
https://kubuku.id/download/UPN Veteran Yogyakarta/ Aplikasi yg berisi buku2 elektronik, semoga bermanfaat.
2. OPAC Katalog Perpustakaan
Alamat website :http://opac.upnyk.ac.id/libsys_master/opac/
Merupakan portal online public access catalogue (OPAC) perpustakaan di lingkungan upnyk
Terdiri dari katalog dari 17 unit kerja dan Perpustakaan Pusat upnyk
3. Repository upnyk
Alamat Website : http://eprints.upnyk.ac.id/
Merupakan website yang berisi kumpulan karya ilmiah berupa skripsi, tesis dan disertasi dalam bentuk elektronik.
Repository upnyk sudah terindeks di situs Repository Nasional di bawah Ristekbrin dengan alamat http://rama.ristekbrin.go.id/
4. Jurnal upnyk
Alamat website : http://jurnal.upnyk.ac.id/
Merupakan portal kumpulan jurnal yang diterbitkan di lingkungan UPN Veteran Yogyakarta dan sudah berbasis OJS (Open Journal System).";Fasilitas
