pertanyaan;intent;jawaban;kategori
Adakah peta kampus?;ldf.kampus pusat;<iframe src=https://www.google.com/maps/d/embed?mid=19lPEIycHSp_YLDDff5H6Q1VjQNI width=640 height=480></iframe>;lokasi dan fasilitas
google maps upnvy!;ldf.kampus pusat;<iframe src=https://www.google.com/maps/d/embed?mid=19lPEIycHSp_YLDDff5H6Q1VjQNI width=640 height=480></iframe>;lokasi dan fasilitas
peta lokasi UPNVYK.;ldf.kampus pusat;<iframe src=https://www.google.com/maps/d/embed?mid=19lPEIycHSp_YLDDff5H6Q1VjQNI width=640 height=480></iframe>;lokasi dan fasilitas
share location UPN!;ldf.kampus pusat;<iframe src=https://www.google.com/maps/d/embed?mid=19lPEIycHSp_YLDDff5H6Q1VjQNI width=640 height=480></iframe>;lokasi dan fasilitas
shareloc upn dong!;ldf.kampus pusat;<iframe src=https://www.google.com/maps/d/embed?mid=19lPEIycHSp_YLDDff5H6Q1VjQNI width=640 height=480></iframe>;lokasi dan fasilitas
bagaimana jika saya sudah mendaftarkan no hp, tetapi tidak mendapatkan data internet belajar kementian pendidikan dan kebudayaan sampai sekarang?;ldf.kuota;Berikut link untuk melihat data tidak valid/tidak aktif menurut data PDDIKTI Kemdikbud per Oktober https//bit.ly/37mP75B;lokasi dan fasilitas
jika no hp saya tercatat tidak aktif, bagaimana langkah yang harus saya ambil agar saya mendapatkan kuota belajar?;ldf.kuota;Berikut link untuk melihat data tidak valid/tidak aktif menurut data PDDIKTI Kemdikbud per Oktober https//bit.ly/37mP75B;lokasi dan fasilitas
saya baru saja mengganti nomor telp saya, [cara|prosedur] apa saja yang harus saya lakukan agar nomor saya terdaftar mendapatkan kuota belajar?;ldf.kuota;Berikut link untuk melihat data tidak valid/tidak aktif menurut data PDDIKTI Kemdikbud per Oktober https//bit.ly/37mP75B;lokasi dan fasilitas
nomer telepon yang terdaftar kemarin bukan merupakan nomer yang saya pakai untuk layanan internet, Solusinya bagaimana ?;ldf.kuota;Cukup setting internet handphone anda agar menggunakan internet sesuai dengan nomor handphone yang telah anda daftarkan.;lokasi dan fasilitas
Saya mempunyai 2 SIM Card, sedangkan nomor handphone yang saya terekap kemarin bukan merupakan nomor yang saya gunakan untuk layanan internet, Solusinya bagaimana ?;ldf.kuota;Cukup setting internet handphone anda agar menggunakan internet sesuai dengan nomor handphone yang telah anda daftarkan.;lokasi dan fasilitas
aplikasi apa saja yang dapat diakses dengan kuota bantuan?;ldf.kuota;Kuota 45 GB hanya dapat digunakan untuk mengakses laman dan aplikasi pembelajaran yang terdaftar pada KEMDIKBUD. Berikut daftar laman dan aplikasi pembelajaran yang dapat diakses menggunakan kuota belajar :?https://kuota-belajar.kemdikbud.go.id/;lokasi dan fasilitas
berapa GB paket data internet gratis pemerintah?;ldf.kuota;Kuota 45 GB hanya dapat digunakan untuk mengakses laman dan aplikasi pembelajaran yang terdaftar pada KEMDIKBUD. Berikut daftar laman dan aplikasi pembelajaran yang dapat diakses menggunakan kuota belajar :?https://kuota-belajar.kemdikbud.go.id/;lokasi dan fasilitas
bisa dimanfaatkan untuk apa saja kuota pemerintah?;ldf.kuota;Kuota 45 GB hanya dapat digunakan untuk mengakses laman dan aplikasi pembelajaran yang terdaftar pada KEMDIKBUD. Berikut daftar laman dan aplikasi pembelajaran yang dapat diakses menggunakan kuota belajar :?https://kuota-belajar.kemdikbud.go.id/;lokasi dan fasilitas
kuota gratis belajar kemendikbud berapa banyak?;ldf.kuota;Kuota 45 GB hanya dapat digunakan untuk mengakses laman dan aplikasi pembelajaran yang terdaftar pada KEMDIKBUD. Berikut daftar laman dan aplikasi pembelajaran yang dapat diakses menggunakan kuota belajar :?https://kuota-belajar.kemdikbud.go.id/;lokasi dan fasilitas
Saya dapat kuota belajar 45 GB dan kuota bebas 5 GB, Kira-kira dapat digunakan apa saja kuota 45 GB itu?;ldf.kuota;Kuota 45 GB hanya dapat digunakan untuk mengakses laman dan aplikasi pembelajaran yang terdaftar pada KEMDIKBUD. Berikut daftar laman dan aplikasi pembelajaran yang dapat diakses menggunakan kuota belajar :?https://kuota-belajar.kemdikbud.go.id/;lokasi dan fasilitas
Kapan kuota gratis dari pemerintah dibagikan 2021?;ldf.kuota;Kuota data internet gratis ini akan disalurkan selama tiga bulan ke depan, mulai dari Maret hingga Mei 2021. Penyaluran kuota internet akan dimulai pada tanggal 11 hingga 15 setiap bulannya;lokasi dan fasilitas
kapan kuota pemerintah turun?;ldf.kuota;Kuota data internet gratis ini akan disalurkan selama tiga bulan ke depan, mulai dari Maret hingga Mei 2021. Penyaluran kuota internet akan dimulai pada tanggal 11 hingga 15 setiap bulannya;lokasi dan fasilitas
kapan saya akan mendapatkan paket data?;ldf.kuota;Kuota data internet gratis ini akan disalurkan selama tiga bulan ke depan, mulai dari Maret hingga Mei 2021. Penyaluran kuota internet akan dimulai pada tanggal 11 hingga 15 setiap bulannya;lokasi dan fasilitas
kapan saya mendapatkan kuota?;ldf.kuota;Kuota data internet gratis ini akan disalurkan selama tiga bulan ke depan, mulai dari Maret hingga Mei 2021. Penyaluran kuota internet akan dimulai pada tanggal 11 hingga 15 setiap bulannya;lokasi dan fasilitas
Kuota Kemendikbud 2021 cair tanggal berapa?;ldf.kuota;Kuota data internet gratis ini akan disalurkan selama tiga bulan ke depan, mulai dari Maret hingga Mei 2021. Penyaluran kuota internet akan dimulai pada tanggal 11 hingga 15 setiap bulannya;lokasi dan fasilitas
operator apa saja yang bisa memperoleh bantuan kuota kemendikbud?;ldf.kuota;Seluruh mahasiswa UPN yang telah terdaftar di excel (https//bit.ly/37mP75B);lokasi dan fasilitas
Siapa saja yang menerima bantuan kuota internet selama masa perkuliahan daring dalam menghadapi pandemi COVID-19 saat ini?;ldf.kuota;Seluruh mahasiswa UPN yang telah terdaftar di excel (https//bit.ly/37mP75B);lokasi dan fasilitas
Siapa saja yang penerima bantuan kuota internet untuk kelas daring selama pandemi virus corona?;ldf.kuota;Seluruh mahasiswa UPN yang telah terdaftar di excel (https//bit.ly/37mP75B);lokasi dan fasilitas
apakah seluruh mahasiswa mendapat bantuan data internet kemendikbud?;ldf.kuota;Silahkan isi form dengan sebelumnya mengecek data di excel (https//bit.ly/37mP75B) Link pemutakhiran data nomor HP TIDAK VALID/TIDAK AKTIF/BELUM TERDATA di https//bit.ly/2T93F0j;lokasi dan fasilitas
bagaimana pemutakhiran bantuan kuota internet pemerintah itu?;ldf.kuota;Silahkan isi form dengan sebelumnya mengecek data di excel (https//bit.ly/37mP75B) Link pemutakhiran data nomor HP TIDAK VALID/TIDAK AKTIF/BELUM TERDATA di https//bit.ly/2T93F0j;lokasi dan fasilitas
Mengapa nomor handphone saya belum terdaftar sebagai penerima bantuan kuota internet?;ldf.kuota;Silahkan isi form dengan sebelumnya mengecek data di excel (https//bit.ly/37mP75B) Link pemutakhiran data nomor HP TIDAK VALID/TIDAK AKTIF/BELUM TERDATA di https//bit.ly/2T93F0j;lokasi dan fasilitas
no hp saya yang terdaftar di kemendikbud sudah tidak aktif, apakah saya bisa melakukan pemutakhiran untuk mendapatkan kuota bantuan kemendikbud kembali?;ldf.kuota;Silahkan isi form dengan sebelumnya mengecek data di excel (https//bit.ly/37mP75B) Link pemutakhiran data nomor HP TIDAK VALID/TIDAK AKTIF/BELUM TERDATA di https//bit.ly/2T93F0j;lokasi dan fasilitas
siapa yang melakukan pemutakhiran data bantuan internet dari pemerintah?;ldf.kuota;Silahkan isi form dengan sebelumnya mengecek data di excel (https//bit.ly/37mP75B) Link pemutakhiran data nomor HP TIDAK VALID/TIDAK AKTIF/BELUM TERDATA di https//bit.ly/2T93F0j;lokasi dan fasilitas
apa yang menyebabkan saya tidak mendapatkan kuota belajar pemerintah?;ldf.kuota;Silahkan kunjungi https//pddikti.kemdikbud.go.id/ lalu pilih verifikasi nomor HP;lokasi dan fasilitas
bagaimana cara mengetahui nomor hp apakah sudah terdaftar bantuan kuota kemendikbud atau belum?;ldf.kuota;Silahkan kunjungi https//pddikti.kemdikbud.go.id/ lalu pilih verifikasi nomor HP;lokasi dan fasilitas
bagaimana tutorial mengecek nomor tlp/hp saya sudah terdaftar di data internet belajar kemdikbud?;ldf.kuota;Silahkan kunjungi https//pddikti.kemdikbud.go.id/ lalu pilih verifikasi nomor HP;lokasi dan fasilitas
dimana saya bisa mencari tau no hp saya sudah terdaftar atau belum di pemerintah?;ldf.kuota;Silahkan kunjungi https//pddikti.kemdikbud.go.id/ lalu pilih verifikasi nomor HP;lokasi dan fasilitas
kenapa nomer telp saya tidak terdaftar di kuota internet belajar kemendikbud?;ldf.kuota;Silahkan kunjungi https//pddikti.kemdikbud.go.id/ lalu pilih verifikasi nomor HP;lokasi dan fasilitas
mengapa saya tidak mendapatkan kuota dari kemdikbud?;ldf.kuota;Silahkan kunjungi https//pddikti.kemdikbud.go.id/ lalu pilih verifikasi nomor HP;lokasi dan fasilitas
saya belum dapat internet belajar kemendikbud?;ldf.kuota;Silahkan kunjungi https//pddikti.kemdikbud.go.id/ lalu pilih verifikasi nomor HP;lokasi dan fasilitas
saya sudah input nomer hp saya, tetapi kenapa saya tidak mendapatkan kuota belajar?;ldf.kuota;Silahkan kunjungi https//pddikti.kemdikbud.go.id/ lalu pilih verifikasi nomor HP;lokasi dan fasilitas
Apa mahasiswa UPN mendapat potongan biaya tes toefl di UPT Bahasa?;ldf.LAPSA;"Lembaga Bahasa dan Budaya dan Pengembangan Media (LAPSA) UPN Veteran Yogyakarta terletak di kampus babarsari. Kamu bisa melakukan test TOEFL disini lho! Untuk mahasiswa UPNVY, biaya pendaftaran tes adalah Rp 50.000. Sementara bagi mahasiswa non-UPNVY, bersiaplah untuk mengeluarkan uang sebesar Rp 100.000 ya!
LAPSA ini memiliki banyak kegiatan, lho! Dari TOEFL untuk mahasiswa UPNVY dan masyarakat luas, ada juga program edutainment untuk anak TK dan SD, dan penerjemah bahasa Inggris maupun bahasa Indonesia. LAPSA juga melayani kursus bahasa Inggris dan bahasa Jepang. Kursus ini bisa dilakukan baik privat/individu maupun kelompok, lho! Beberapa fasilitas yang ditawarkan LAPSA, diantaranya Laboratorium Audio dengan kapasitas 30 orang dan Laboratorium Multi Media. Selain itu, laboratorium ini juga menerima kursus bahasa Inggris. Misi pembangunannya adalah untuk memberikan pelatihan bahasa asing ke civitas akademika dan masyarakat umum.";lokasi dan fasilitas
Apa UPT Bahasa menyediakan fasilitas [belajar|les] toefl?;ldf.LAPSA;"Lembaga Bahasa dan Budaya dan Pengembangan Media (LAPSA) UPN Veteran Yogyakarta terletak di kampus babarsari. Kamu bisa melakukan test TOEFL disini lho! Untuk mahasiswa UPNVY, biaya pendaftaran tes adalah Rp 50.000. Sementara bagi mahasiswa non-UPNVY, bersiaplah untuk mengeluarkan uang sebesar Rp 100.000 ya!
LAPSA ini memiliki banyak kegiatan, lho! Dari TOEFL untuk mahasiswa UPNVY dan masyarakat luas, ada juga program edutainment untuk anak TK dan SD, dan penerjemah bahasa Inggris maupun bahasa Indonesia. LAPSA juga melayani kursus bahasa Inggris dan bahasa Jepang. Kursus ini bisa dilakukan baik privat/individu maupun kelompok, lho! Beberapa fasilitas yang ditawarkan LAPSA, diantaranya Laboratorium Audio dengan kapasitas 30 orang dan Laboratorium Multi Media. Selain itu, laboratorium ini juga menerima kursus bahasa Inggris. Misi pembangunannya adalah untuk memberikan pelatihan bahasa asing ke civitas akademika dan masyarakat umum.";lokasi dan fasilitas
Apa UPT Bahasa menyediakan sertifikat tes Bahasa Inggris selain toefl?;ldf.LAPSA;"Lembaga Bahasa dan Budaya dan Pengembangan Media (LAPSA) UPN Veteran Yogyakarta terletak di kampus babarsari. Kamu bisa melakukan test TOEFL disini lho! Untuk mahasiswa UPNVY, biaya pendaftaran tes adalah Rp 50.000. Sementara bagi mahasiswa non-UPNVY, bersiaplah untuk mengeluarkan uang sebesar Rp 100.000 ya!
LAPSA ini memiliki banyak kegiatan, lho! Dari TOEFL untuk mahasiswa UPNVY dan masyarakat luas, ada juga program edutainment untuk anak TK dan SD, dan penerjemah bahasa Inggris maupun bahasa Indonesia. LAPSA juga melayani kursus bahasa Inggris dan bahasa Jepang. Kursus ini bisa dilakukan baik privat/individu maupun kelompok, lho! Beberapa fasilitas yang ditawarkan LAPSA, diantaranya Laboratorium Audio dengan kapasitas 30 orang dan Laboratorium Multi Media. Selain itu, laboratorium ini juga menerima kursus bahasa Inggris. Misi pembangunannya adalah untuk memberikan pelatihan bahasa asing ke civitas akademika dan masyarakat umum.";lokasi dan fasilitas
Berapa biaya untuk tes toefl di kampus atau UPT Bahasa atau gratis?;ldf.LAPSA;"Lembaga Bahasa dan Budaya dan Pengembangan Media (LAPSA) UPN Veteran Yogyakarta terletak di kampus babarsari. Kamu bisa melakukan test TOEFL disini lho! Untuk mahasiswa UPNVY, biaya pendaftaran tes adalah Rp 50.000. Sementara bagi mahasiswa non-UPNVY, bersiaplah untuk mengeluarkan uang sebesar Rp 100.000 ya!
LAPSA ini memiliki banyak kegiatan, lho! Dari TOEFL untuk mahasiswa UPNVY dan masyarakat luas, ada juga program edutainment untuk anak TK dan SD, dan penerjemah bahasa Inggris maupun bahasa Indonesia. LAPSA juga melayani kursus bahasa Inggris dan bahasa Jepang. Kursus ini bisa dilakukan baik privat/individu maupun kelompok, lho! Beberapa fasilitas yang ditawarkan LAPSA, diantaranya Laboratorium Audio dengan kapasitas 30 orang dan Laboratorium Multi Media. Selain itu, laboratorium ini juga menerima kursus bahasa Inggris. Misi pembangunannya adalah untuk memberikan pelatihan bahasa asing ke civitas akademika dan masyarakat umum.";lokasi dan fasilitas
Dimana lokasi UPT Bahasa UPN Jogja?;ldf.LAPSA;"Lembaga Bahasa dan Budaya dan Pengembangan Media (LAPSA) UPN Veteran Yogyakarta terletak di kampus babarsari. Kamu bisa melakukan test TOEFL disini lho! Untuk mahasiswa UPNVY, biaya pendaftaran tes adalah Rp 50.000. Sementara bagi mahasiswa non-UPNVY, bersiaplah untuk mengeluarkan uang sebesar Rp 100.000 ya!
LAPSA ini memiliki banyak kegiatan, lho! Dari TOEFL untuk mahasiswa UPNVY dan masyarakat luas, ada juga program edutainment untuk anak TK dan SD, dan penerjemah bahasa Inggris maupun bahasa Indonesia. LAPSA juga melayani kursus bahasa Inggris dan bahasa Jepang. Kursus ini bisa dilakukan baik privat/individu maupun kelompok, lho! Beberapa fasilitas yang ditawarkan LAPSA, diantaranya Laboratorium Audio dengan kapasitas 30 orang dan Laboratorium Multi Media. Selain itu, laboratorium ini juga menerima kursus bahasa Inggris. Misi pembangunannya adalah untuk memberikan pelatihan bahasa asing ke civitas akademika dan masyarakat umum.";lokasi dan fasilitas
gais, ada yang tau ga kalo mau tes toefl di lab upt bahasa upn gimana caranya?;ldf.LAPSA;"Lembaga Bahasa dan Budaya dan Pengembangan Media (LAPSA) UPN Veteran Yogyakarta terletak di kampus babarsari. Kamu bisa melakukan test TOEFL disini lho! Untuk mahasiswa UPNVY, biaya pendaftaran tes adalah Rp 50.000. Sementara bagi mahasiswa non-UPNVY, bersiaplah untuk mengeluarkan uang sebesar Rp 100.000 ya!
LAPSA ini memiliki banyak kegiatan, lho! Dari TOEFL untuk mahasiswa UPNVY dan masyarakat luas, ada juga program edutainment untuk anak TK dan SD, dan penerjemah bahasa Inggris maupun bahasa Indonesia. LAPSA juga melayani kursus bahasa Inggris dan bahasa Jepang. Kursus ini bisa dilakukan baik privat/individu maupun kelompok, lho! Beberapa fasilitas yang ditawarkan LAPSA, diantaranya Laboratorium Audio dengan kapasitas 30 orang dan Laboratorium Multi Media. Selain itu, laboratorium ini juga menerima kursus bahasa Inggris. Misi pembangunannya adalah untuk memberikan pelatihan bahasa asing ke civitas akademika dan masyarakat umum.";lokasi dan fasilitas
ada yang punya soal uts/uas tahun lalu?;ldf.materi if;https://perpus.ifupnyk.or.id/;lokasi dan fasilitas
bagi soal-soal ujian tahun sebelumnya ada?;ldf.materi if;https://perpus.ifupnyk.or.id/;lokasi dan fasilitas
perpus materi bahan perkuliahan informatika teori informatika (if).;ldf.materi if;https://perpus.ifupnyk.or.id/;lokasi dan fasilitas
dimana saya bisa mendapatkan bahan materi perkuliahan sistem informasi?;ldf.materi si;https://himasisfo.fti.upnyk.ac.id/bank-soal/;lokasi dan fasilitas
kumpulan catatan teori SI.;ldf.materi si;https://himasisfo.fti.upnyk.ac.id/bank-soal/;lokasi dan fasilitas
perpus catatan materi sistem informasi.;ldf.materi si;https://himasisfo.fti.upnyk.ac.id/bank-soal/;lokasi dan fasilitas
jam kerja kampus pusat !;ldf.perpustakaan;"Jam layanan UPT Perpustakaan UPN Veteran Yogyakarta adalah  sebagai berikut :
PELAYANAN SIRKULASI
 a.  Senin s/d Kamis : pukul ( 08.00 ? 16.00) WIB
 b. Jum?at : pukul (08.00 ? 16.00)WIB
 

PELAYANAN RUANG BACA DAN REFERENSI
a. Senin s/d Kamis : pukul ( 08.00 ? 16.00) WIB
b. Jum?at : pukul (08.00 ? 16.00)WIB
 

PELAYANAN RUANG PENELUSURAN
a. Senin s/d Kamis : pukul ( 08.00 ? 16.00) WIB
b. Jum?at : pukul (08.00 ?16.00)WIB";lokasi dan fasilitas
perpus univ tiap hari apa bukanya?;ldf.perpustakaan;"Jam layanan UPT Perpustakaan UPN Veteran Yogyakarta adalah  sebagai berikut :
PELAYANAN SIRKULASI
 a.  Senin s/d Kamis : pukul ( 08.00 ? 16.00) WIB
 b. Jum?at : pukul (08.00 ? 16.00)WIB
 

PELAYANAN RUANG BACA DAN REFERENSI
a. Senin s/d Kamis : pukul ( 08.00 ? 16.00) WIB
b. Jum?at : pukul (08.00 ? 16.00)WIB
 

PELAYANAN RUANG PENELUSURAN
a. Senin s/d Kamis : pukul ( 08.00 ? 16.00) WIB
b. Jum?at : pukul (08.00 ?16.00)WIB";lokasi dan fasilitas
perpustakaan universitas buka belum?;ldf.perpustakaan;"Jam layanan UPT Perpustakaan UPN Veteran Yogyakarta adalah  sebagai berikut :
PELAYANAN SIRKULASI
 a.  Senin s/d Kamis : pukul ( 08.00 ? 16.00) WIB
 b. Jum?at : pukul (08.00 ? 16.00)WIB
 

PELAYANAN RUANG BACA DAN REFERENSI
a. Senin s/d Kamis : pukul ( 08.00 ? 16.00) WIB
b. Jum?at : pukul (08.00 ? 16.00)WIB
 

PELAYANAN RUANG PENELUSURAN
a. Senin s/d Kamis : pukul ( 08.00 ? 16.00) WIB
b. Jum?at : pukul (08.00 ?16.00)WIB";lokasi dan fasilitas
dimana alamat perpus kampus 1?;ldf.perpustakaan;Jl. Padjajaran Condongcatur, Sleman, Daerah Istimewa Yogyakarta;lokasi dan fasilitas
lokasi Pepustakaan Pusat!;ldf.perpustakaan;Jl. Padjajaran Condongcatur, Sleman, Daerah Istimewa Yogyakarta;lokasi dan fasilitas
jam operasional perpustakaan fti!;ldf.perpustakaan;Perpustakaan FTI Senin-Jumat pukul 08.00 - 19.00, Sabtu 08.00 - 12.00;lokasi dan fasilitas
perpustakaan fakultas tutup kapan?;ldf.perpustakaan;Perpustakaan FTI Senin-Jumat pukul 08.00 - 19.00, Sabtu 08.00 - 12.00;lokasi dan fasilitas
Perpus kampus II udah buka belum ya?;ldf.perpustakaan;Perpustakaan FTI Senin-Jumat pukul 08.00 - 19.00, Sabtu 08.00 - 12.00 ;lokasi dan fasilitas
akses jurnal jurusan informatika telematika!;ldf.reverensi ;http://jurnal.upnyk.ac.id/index.php/telematika;lokasi dan fasilitas
alamat web telematika.;ldf.reverensi ;http://jurnal.upnyk.ac.id/index.php/telematika;lokasi dan fasilitas
jurnal telematika bisa di lihat dimana?;ldf.reverensi ;http://jurnal.upnyk.ac.id/index.php/telematika;lokasi dan fasilitas
link jurnal telematika!;ldf.reverensi ;http://jurnal.upnyk.ac.id/index.php/telematika;lokasi dan fasilitas
karya ilmiah yang dapat digunakan untuk sumber penelitian dapat diperoleh dari mana?;ldf.reverensi ;"Sumber Informasi Di Luar Lingkungan UPN Veteran Yogyakarta
1. RAMA Repository
Alamat website : http://rama.ristekbrin.go.id/
RAMA merupakan repository nasional yang berisi laporan penelitian (tugas akhir, skripsi, tesis dan disertasi) yang bukan merupakan publikasi di jurnal ilmiah.
Rama repository terintegrasi dengan data repository yang diizinkan diakses dari repository perguruan tinggi dan lembaga penelitian di Indonesia yang telah terdaftar ke RAMA Repository. (Ristekdikti 2019)
2. GARUDA  (Garba Rujukan Digital)
Alamat website : http://garuda.ristekbrin.go.id/
Merupakan repository artikel jurnal nasional Indonesia
Garuda menyediakan metadata publikasi nasional Indoensia, penelusuran artikel ilmiah jurnal dan prosiding nasional
Tersedia download artikel secara fulltext
3. SINTA (Science and Technology Index)
Alamat Website : http://sinta.ristekbrin.go.id/
SINTA merupakan situs yang dibangun Kemenristekdikti (Sekarang Kemenristekdikti/Brin) yang memberikan akses terkait sitasi dan direktori profil para ahli/peneliti di Indonesia di berbagai bidang keilmuan.
SINTA menyediakan informasi untuk mengukur kinerja peneliti, lembaga dan jurnal di Indonesia.
SINTA memberikan tolok ukur dan analisis, identifikasi kekuatan penelitian masing-masing lembaga untuk mengembangkan kemitraan, kolaboratif  di antara lembaga
SINTA juga memberikan analisis tren penelitian (Ristekdikti 2019)
4. iPusnas
Merupakan aplikasi perpustakaan digital persembahan Perpustakaan Nasional Republik Indonesia.
Aplikasi ini menyediakan koleksi ebook yang bisa dipinjam selama beberapa waktu.
Civitas bisa mendownload aplikasi iPusnas di App Store dan/ Play Store kemudian melakukan register, dengan keyword iPusnas
5. E-Resources Perpusnas RI
Alamat website : http://e-resources.perpusnas.go.id/
Merupakan portal untuk mengakses bahan perpustakan digital yang dilanggan oleh Perpusnas RI
Untuk bisa mengakses fasilitas ini, civitas harus melakukan registrasi dan memiliki nomor keangotaan yang resmi. Fasilitas keanggotaan bisa diakses di http://keanggotaan.perpusnas.go.id.
6. DOAJ.org
Memuat Artikel jurnal internasional dan nasional yang bersifat open Acces
7.ScienceDirect dari Elsevier
Database E-Journal ScienceDirect dari Elsevier memuat berbagai artikel jurnal disiplin ilmu mulai dr Teknik, Agriculture, Kesehatan hingga Sosial Science, Bisnis, Management, Accounting ada semuanya.
Akses dengan Jaringan kampus tanpa username dan password atau login dengan Email institusi
8. E-jounal Wiley
Akses E-Journal Wiley juga sudah aktif, silahkan diakses melalui jaringan kampus, gratis dan fulltext atau login dengan Email institusi.
9.ejournal ProQuest
Ini baru beberapa jurnal elektronik yg dilanggan #upnvy. Mau tau lebih banyak lagi kunjungi saja https://search.proquest.com gratis menggunakan wifi kampus atau silahkan meminta username dan password untuk mengaksesnya diluar jaringan internet kampus.
Database ejournal ProQuest sudah aktif untuk akses di UPN Veteran Yogyakarta. Subjek yang dilanggan antara lain:
ABI/INFORM Global (Ekonomi dan Bisnis)
Agricultural Science Database (Pertanian)
Engineering Database (Teknik)
Research Library (Multidisiplin Ilmu)
Akses tanpa username/password dapat dilakukan melalui jaringan di kampus dengan url : www.proquest.com
Akses diluar kampus melalui url: www.proquest.com/login
Username dan password silahkan menghubungi pustakawan
10. ipusnas.id dan ijogja.id.
Referensi tambahan ebook gratis, dapat di download di playstore. Untuk informasi lebih lanjut ipusnas.id dan ijogja.id.";lokasi dan fasilitas
referensi jurnal internasional yang disediakan UPN?;ldf.reverensi ;"Sumber Informasi Di Luar Lingkungan UPN Veteran Yogyakarta
1. RAMA Repository
Alamat website : http://rama.ristekbrin.go.id/
RAMA merupakan repository nasional yang berisi laporan penelitian (tugas akhir, skripsi, tesis dan disertasi) yang bukan merupakan publikasi di jurnal ilmiah.
Rama repository terintegrasi dengan data repository yang diizinkan diakses dari repository perguruan tinggi dan lembaga penelitian di Indonesia yang telah terdaftar ke RAMA Repository. (Ristekdikti 2019)
2. GARUDA  (Garba Rujukan Digital)
Alamat website : http://garuda.ristekbrin.go.id/
Merupakan repository artikel jurnal nasional Indonesia
Garuda menyediakan metadata publikasi nasional Indoensia, penelusuran artikel ilmiah jurnal dan prosiding nasional
Tersedia download artikel secara fulltext
3. SINTA (Science and Technology Index)
Alamat Website : http://sinta.ristekbrin.go.id/
SINTA merupakan situs yang dibangun Kemenristekdikti (Sekarang Kemenristekdikti/Brin) yang memberikan akses terkait sitasi dan direktori profil para ahli/peneliti di Indonesia di berbagai bidang keilmuan.
SINTA menyediakan informasi untuk mengukur kinerja peneliti, lembaga dan jurnal di Indonesia.
SINTA memberikan tolok ukur dan analisis, identifikasi kekuatan penelitian masing-masing lembaga untuk mengembangkan kemitraan, kolaboratif  di antara lembaga
SINTA juga memberikan analisis tren penelitian (Ristekdikti 2019)
4. iPusnas
Merupakan aplikasi perpustakaan digital persembahan Perpustakaan Nasional Republik Indonesia.
Aplikasi ini menyediakan koleksi ebook yang bisa dipinjam selama beberapa waktu.
Civitas bisa mendownload aplikasi iPusnas di App Store dan/ Play Store kemudian melakukan register, dengan keyword iPusnas
5. E-Resources Perpusnas RI
Alamat website : http://e-resources.perpusnas.go.id/
Merupakan portal untuk mengakses bahan perpustakan digital yang dilanggan oleh Perpusnas RI
Untuk bisa mengakses fasilitas ini, civitas harus melakukan registrasi dan memiliki nomor keangotaan yang resmi. Fasilitas keanggotaan bisa diakses di http://keanggotaan.perpusnas.go.id.
6. DOAJ.org
Memuat Artikel jurnal internasional dan nasional yang bersifat open Acces
7.ScienceDirect dari Elsevier
Database E-Journal ScienceDirect dari Elsevier memuat berbagai artikel jurnal disiplin ilmu mulai dr Teknik, Agriculture, Kesehatan hingga Sosial Science, Bisnis, Management, Accounting ada semuanya.
Akses dengan Jaringan kampus tanpa username dan password atau login dengan Email institusi
8. E-jounal Wiley
Akses E-Journal Wiley juga sudah aktif, silahkan diakses melalui jaringan kampus, gratis dan fulltext atau login dengan Email institusi.
9.ejournal ProQuest
Ini baru beberapa jurnal elektronik yg dilanggan #upnvy. Mau tau lebih banyak lagi kunjungi saja https://search.proquest.com gratis menggunakan wifi kampus atau silahkan meminta username dan password untuk mengaksesnya diluar jaringan internet kampus.
Database ejournal ProQuest sudah aktif untuk akses di UPN Veteran Yogyakarta. Subjek yang dilanggan antara lain:
ABI/INFORM Global (Ekonomi dan Bisnis)
Agricultural Science Database (Pertanian)
Engineering Database (Teknik)
Research Library (Multidisiplin Ilmu)
Akses tanpa username/password dapat dilakukan melalui jaringan di kampus dengan url : www.proquest.com
Akses diluar kampus melalui url: www.proquest.com/login
Username dan password silahkan menghubungi pustakawan
10. ipusnas.id dan ijogja.id.
Referensi tambahan ebook gratis, dapat di download di playstore. Untuk informasi lebih lanjut ipusnas.id dan ijogja.id.";lokasi dan fasilitas
