pertanyaan;jawaban;intent;label
alasan apa saja yang diperbolehkan untuk nonaktif akademik?;"Ketetuan Pengajuan Cuti Akademik
1. Mahasiswa dapat mengajukan cuti akademik antara lain dengan alasan keuangan dan/atau sakit.
2. Ketentuan pengajuan cuti adalah sebagai berikut
a. Mahasiswa sudah menempuh sekurang-kurangnya 4 (empat) semester
b. Mahasiswa yang karena alasan sakit/hamil dapat mengambil cuti akademik walaupun belum mencapai lama studi empat semester.
c. Mahasiswa sudah menyelesaikan kewajiban administrasi dan keuangan yang ditentukan.
d. Cuti akademik diberikan selama-lamanya selama 2 (dua) semester dan tidak boleh diambil secara berturut-turut.
e. Cuti akademik diperhitungkan dalam batas lama studi.
f. Permohonan cuti diajukan kepada Rektor sesuai dengan jadwal yang tertera pada kalender akademik.
g. Permohonan cuti disertai dengan dokumen penunjang yang disetujui oleh Dosen Penasihat Akademik (DPA), Koordinator Program Studi, dan Dekan/Direktur Pascasarjana.";administrasi.cuti;peraturan administrasi akademik
apa saja ketentuan sehingga boleh mengambil cuti akademik?;"Ketetuan Pengajuan Cuti Akademik
1. Mahasiswa dapat mengajukan cuti akademik antara lain dengan alasan keuangan dan/atau sakit.
2. Ketentuan pengajuan cuti adalah sebagai berikut
a. Mahasiswa sudah menempuh sekurang-kurangnya 4 (empat) semester
b. Mahasiswa yang karena alasan sakit/hamil dapat mengambil cuti akademik walaupun belum mencapai lama studi empat semester.
c. Mahasiswa sudah menyelesaikan kewajiban administrasi dan keuangan yang ditentukan.
d. Cuti akademik diberikan selama-lamanya selama 2 (dua) semester dan tidak boleh diambil secara berturut-turut.
e. Cuti akademik diperhitungkan dalam batas lama studi.
f. Permohonan cuti diajukan kepada Rektor sesuai dengan jadwal yang tertera pada kalender akademik.
g. Permohonan cuti disertai dengan dokumen penunjang yang disetujui oleh Dosen Penasihat Akademik (DPA), Koordinator Program Studi, dan Dekan/Direktur Pascasarjana.";administrasi.cuti;peraturan administrasi akademik
apa saja peraturan dan ketentuan ambil nonaktif akademik?;"Ketetuan Pengajuan Cuti Akademik
1. Mahasiswa dapat mengajukan cuti akademik antara lain dengan alasan keuangan dan/atau sakit.
2. Ketentuan pengajuan cuti adalah sebagai berikut
a. Mahasiswa sudah menempuh sekurang-kurangnya 4 (empat) semester
b. Mahasiswa yang karena alasan sakit/hamil dapat mengambil cuti akademik walaupun belum mencapai lama studi empat semester.
c. Mahasiswa sudah menyelesaikan kewajiban administrasi dan keuangan yang ditentukan.
d. Cuti akademik diberikan selama-lamanya selama 2 (dua) semester dan tidak boleh diambil secara berturut-turut.
e. Cuti akademik diperhitungkan dalam batas lama studi.
f. Permohonan cuti diajukan kepada Rektor sesuai dengan jadwal yang tertera pada kalender akademik.
g. Permohonan cuti disertai dengan dokumen penunjang yang disetujui oleh Dosen Penasihat Akademik (DPA), Koordinator Program Studi, dan Dekan/Direktur Pascasarjana.";administrasi.cuti;peraturan administrasi akademik
apa syarat yang harus saya lengkapi untuk mengajukan cuti akademik?;"Ketetuan Pengajuan Cuti Akademik
1. Mahasiswa dapat mengajukan cuti akademik antara lain dengan alasan keuangan dan/atau sakit.
2. Ketentuan pengajuan cuti adalah sebagai berikut
a. Mahasiswa sudah menempuh sekurang-kurangnya 4 (empat) semester
b. Mahasiswa yang karena alasan sakit/hamil dapat mengambil cuti akademik walaupun belum mencapai lama studi empat semester.
c. Mahasiswa sudah menyelesaikan kewajiban administrasi dan keuangan yang ditentukan.
d. Cuti akademik diberikan selama-lamanya selama 2 (dua) semester dan tidak boleh diambil secara berturut-turut.
e. Cuti akademik diperhitungkan dalam batas lama studi.
f. Permohonan cuti diajukan kepada Rektor sesuai dengan jadwal yang tertera pada kalender akademik.
g. Permohonan cuti disertai dengan dokumen penunjang yang disetujui oleh Dosen Penasihat Akademik (DPA), Koordinator Program Studi, dan Dekan/Direktur Pascasarjana.";administrasi.cuti;peraturan administrasi akademik
Apakah diperbolehkan nonaktif kuliah berturut-turut selama beberapa semester?;"Ketetuan Pengajuan Cuti Akademik
1. Mahasiswa dapat mengajukan cuti akademik antara lain dengan alasan keuangan dan/atau sakit.
2. Ketentuan pengajuan cuti adalah sebagai berikut
a. Mahasiswa sudah menempuh sekurang-kurangnya 4 (empat) semester
b. Mahasiswa yang karena alasan sakit/hamil dapat mengambil cuti akademik walaupun belum mencapai lama studi empat semester.
c. Mahasiswa sudah menyelesaikan kewajiban administrasi dan keuangan yang ditentukan.
d. Cuti akademik diberikan selama-lamanya selama 2 (dua) semester dan tidak boleh diambil secara berturut-turut.
e. Cuti akademik diperhitungkan dalam batas lama studi.
f. Permohonan cuti diajukan kepada Rektor sesuai dengan jadwal yang tertera pada kalender akademik.
g. Permohonan cuti disertai dengan dokumen penunjang yang disetujui oleh Dosen Penasihat Akademik (DPA), Koordinator Program Studi, dan Dekan/Direktur Pascasarjana.";administrasi.cuti;peraturan administrasi akademik
berapa jangka waktu mhs nonaktif?;"Ketetuan Pengajuan Cuti Akademik
1. Mahasiswa dapat mengajukan cuti akademik antara lain dengan alasan keuangan dan/atau sakit.
2. Ketentuan pengajuan cuti adalah sebagai berikut
a. Mahasiswa sudah menempuh sekurang-kurangnya 4 (empat) semester
b. Mahasiswa yang karena alasan sakit/hamil dapat mengambil cuti akademik walaupun belum mencapai lama studi empat semester.
c. Mahasiswa sudah menyelesaikan kewajiban administrasi dan keuangan yang ditentukan.
d. Cuti akademik diberikan selama-lamanya selama 2 (dua) semester dan tidak boleh diambil secara berturut-turut.
e. Cuti akademik diperhitungkan dalam batas lama studi.
f. Permohonan cuti diajukan kepada Rektor sesuai dengan jadwal yang tertera pada kalender akademik.
g. Permohonan cuti disertai dengan dokumen penunjang yang disetujui oleh Dosen Penasihat Akademik (DPA), Koordinator Program Studi, dan Dekan/Direktur Pascasarjana.";administrasi.cuti;peraturan administrasi akademik
Berapa kali batas semester ambil 0 sks yang bisa saya ajukan?;"Ketetuan Pengajuan Cuti Akademik
1. Mahasiswa dapat mengajukan cuti akademik antara lain dengan alasan keuangan dan/atau sakit.
2. Ketentuan pengajuan cuti adalah sebagai berikut
a. Mahasiswa sudah menempuh sekurang-kurangnya 4 (empat) semester
b. Mahasiswa yang karena alasan sakit/hamil dapat mengambil cuti akademik walaupun belum mencapai lama studi empat semester.
c. Mahasiswa sudah menyelesaikan kewajiban administrasi dan keuangan yang ditentukan.
d. Cuti akademik diberikan selama-lamanya selama 2 (dua) semester dan tidak boleh diambil secara berturut-turut.
e. Cuti akademik diperhitungkan dalam batas lama studi.
f. Permohonan cuti diajukan kepada Rektor sesuai dengan jadwal yang tertera pada kalender akademik.
g. Permohonan cuti disertai dengan dokumen penunjang yang disetujui oleh Dosen Penasihat Akademik (DPA), Koordinator Program Studi, dan Dekan/Direktur Pascasarjana.";administrasi.cuti;peraturan administrasi akademik
Berapa kali diperbolehkan mahasiswa mengambil cuti akademik?;"Ketetuan Pengajuan Cuti Akademik
1. Mahasiswa dapat mengajukan cuti akademik antara lain dengan alasan keuangan dan/atau sakit.
2. Ketentuan pengajuan cuti adalah sebagai berikut
a. Mahasiswa sudah menempuh sekurang-kurangnya 4 (empat) semester
b. Mahasiswa yang karena alasan sakit/hamil dapat mengambil cuti akademik walaupun belum mencapai lama studi empat semester.
c. Mahasiswa sudah menyelesaikan kewajiban administrasi dan keuangan yang ditentukan.
d. Cuti akademik diberikan selama-lamanya selama 2 (dua) semester dan tidak boleh diambil secara berturut-turut.
e. Cuti akademik diperhitungkan dalam batas lama studi.
f. Permohonan cuti diajukan kepada Rektor sesuai dengan jadwal yang tertera pada kalender akademik.
g. Permohonan cuti disertai dengan dokumen penunjang yang disetujui oleh Dosen Penasihat Akademik (DPA), Koordinator Program Studi, dan Dekan/Direktur Pascasarjana.";administrasi.cuti;peraturan administrasi akademik
dokumen pengajuan Cuti akademik harus di setujui siapa saja?;"Ketetuan Pengajuan Cuti Akademik
1. Mahasiswa dapat mengajukan cuti akademik antara lain dengan alasan keuangan dan/atau sakit.
2. Ketentuan pengajuan cuti adalah sebagai berikut
a. Mahasiswa sudah menempuh sekurang-kurangnya 4 (empat) semester
b. Mahasiswa yang karena alasan sakit/hamil dapat mengambil cuti akademik walaupun belum mencapai lama studi empat semester.
c. Mahasiswa sudah menyelesaikan kewajiban administrasi dan keuangan yang ditentukan.
d. Cuti akademik diberikan selama-lamanya selama 2 (dua) semester dan tidak boleh diambil secara berturut-turut.
e. Cuti akademik diperhitungkan dalam batas lama studi.
f. Permohonan cuti diajukan kepada Rektor sesuai dengan jadwal yang tertera pada kalender akademik.
g. Permohonan cuti disertai dengan dokumen penunjang yang disetujui oleh Dosen Penasihat Akademik (DPA), Koordinator Program Studi, dan Dekan/Direktur Pascasarjana.";administrasi.cuti;peraturan administrasi akademik
kalau saya malas kuliah boleh cuti tidak?;"Ketetuan Pengajuan Cuti Akademik
1. Mahasiswa dapat mengajukan cuti akademik antara lain dengan alasan keuangan dan/atau sakit.
2. Ketentuan pengajuan cuti adalah sebagai berikut
a. Mahasiswa sudah menempuh sekurang-kurangnya 4 (empat) semester
b. Mahasiswa yang karena alasan sakit/hamil dapat mengambil cuti akademik walaupun belum mencapai lama studi empat semester.
c. Mahasiswa sudah menyelesaikan kewajiban administrasi dan keuangan yang ditentukan.
d. Cuti akademik diberikan selama-lamanya selama 2 (dua) semester dan tidak boleh diambil secara berturut-turut.
e. Cuti akademik diperhitungkan dalam batas lama studi.
f. Permohonan cuti diajukan kepada Rektor sesuai dengan jadwal yang tertera pada kalender akademik.
g. Permohonan cuti disertai dengan dokumen penunjang yang disetujui oleh Dosen Penasihat Akademik (DPA), Koordinator Program Studi, dan Dekan/Direktur Pascasarjana.";administrasi.cuti;peraturan administrasi akademik
ketentuan untuk cuti apa saja?;"Ketetuan Pengajuan Cuti Akademik
1. Mahasiswa dapat mengajukan cuti akademik antara lain dengan alasan keuangan dan/atau sakit.
2. Ketentuan pengajuan cuti adalah sebagai berikut
a. Mahasiswa sudah menempuh sekurang-kurangnya 4 (empat) semester
b. Mahasiswa yang karena alasan sakit/hamil dapat mengambil cuti akademik walaupun belum mencapai lama studi empat semester.
c. Mahasiswa sudah menyelesaikan kewajiban administrasi dan keuangan yang ditentukan.
d. Cuti akademik diberikan selama-lamanya selama 2 (dua) semester dan tidak boleh diambil secara berturut-turut.
e. Cuti akademik diperhitungkan dalam batas lama studi.
f. Permohonan cuti diajukan kepada Rektor sesuai dengan jadwal yang tertera pada kalender akademik.
g. Permohonan cuti disertai dengan dokumen penunjang yang disetujui oleh Dosen Penasihat Akademik (DPA), Koordinator Program Studi, dan Dekan/Direktur Pascasarjana.";administrasi.cuti;peraturan administrasi akademik
kriteria mahasiswa yang boleh cuti bagaimana?;"Ketetuan Pengajuan Cuti Akademik
1. Mahasiswa dapat mengajukan cuti akademik antara lain dengan alasan keuangan dan/atau sakit.
2. Ketentuan pengajuan cuti adalah sebagai berikut
a. Mahasiswa sudah menempuh sekurang-kurangnya 4 (empat) semester
b. Mahasiswa yang karena alasan sakit/hamil dapat mengambil cuti akademik walaupun belum mencapai lama studi empat semester.
c. Mahasiswa sudah menyelesaikan kewajiban administrasi dan keuangan yang ditentukan.
d. Cuti akademik diberikan selama-lamanya selama 2 (dua) semester dan tidak boleh diambil secara berturut-turut.
e. Cuti akademik diperhitungkan dalam batas lama studi.
f. Permohonan cuti diajukan kepada Rektor sesuai dengan jadwal yang tertera pada kalender akademik.
g. Permohonan cuti disertai dengan dokumen penunjang yang disetujui oleh Dosen Penasihat Akademik (DPA), Koordinator Program Studi, dan Dekan/Direktur Pascasarjana.";administrasi.cuti;peraturan administrasi akademik
saya ingin mangkir karena terkendala biaya, apa saya masuk ke dalam ketentuan yang diperbolehkan untuk mengambil cuti?;"Ketetuan Pengajuan Cuti Akademik
1. Mahasiswa dapat mengajukan cuti akademik antara lain dengan alasan keuangan dan/atau sakit.
2. Ketentuan pengajuan cuti adalah sebagai berikut
a. Mahasiswa sudah menempuh sekurang-kurangnya 4 (empat) semester
b. Mahasiswa yang karena alasan sakit/hamil dapat mengambil cuti akademik walaupun belum mencapai lama studi empat semester.
c. Mahasiswa sudah menyelesaikan kewajiban administrasi dan keuangan yang ditentukan.
d. Cuti akademik diberikan selama-lamanya selama 2 (dua) semester dan tidak boleh diambil secara berturut-turut.
e. Cuti akademik diperhitungkan dalam batas lama studi.
f. Permohonan cuti diajukan kepada Rektor sesuai dengan jadwal yang tertera pada kalender akademik.
g. Permohonan cuti disertai dengan dokumen penunjang yang disetujui oleh Dosen Penasihat Akademik (DPA), Koordinator Program Studi, dan Dekan/Direktur Pascasarjana.";administrasi.cuti;peraturan administrasi akademik
saya ingin mengajukan cuti karena terkendala biaya, adakah syarat khusus yang dibutuhkan untuk prosesnya?;"Ketetuan Pengajuan Cuti Akademik
1. Mahasiswa dapat mengajukan cuti akademik antara lain dengan alasan keuangan dan/atau sakit.
2. Ketentuan pengajuan cuti adalah sebagai berikut
a. Mahasiswa sudah menempuh sekurang-kurangnya 4 (empat) semester
b. Mahasiswa yang karena alasan sakit/hamil dapat mengambil cuti akademik walaupun belum mencapai lama studi empat semester.
c. Mahasiswa sudah menyelesaikan kewajiban administrasi dan keuangan yang ditentukan.
d. Cuti akademik diberikan selama-lamanya selama 2 (dua) semester dan tidak boleh diambil secara berturut-turut.
e. Cuti akademik diperhitungkan dalam batas lama studi.
f. Permohonan cuti diajukan kepada Rektor sesuai dengan jadwal yang tertera pada kalender akademik.
g. Permohonan cuti disertai dengan dokumen penunjang yang disetujui oleh Dosen Penasihat Akademik (DPA), Koordinator Program Studi, dan Dekan/Direktur Pascasarjana.";administrasi.cuti;peraturan administrasi akademik
saya ingin mengambil 0 sks, apa saya syaratnya?;"Ketetuan Pengajuan Cuti Akademik
1. Mahasiswa dapat mengajukan cuti akademik antara lain dengan alasan keuangan dan/atau sakit.
2. Ketentuan pengajuan cuti adalah sebagai berikut
a. Mahasiswa sudah menempuh sekurang-kurangnya 4 (empat) semester
b. Mahasiswa yang karena alasan sakit/hamil dapat mengambil cuti akademik walaupun belum mencapai lama studi empat semester.
c. Mahasiswa sudah menyelesaikan kewajiban administrasi dan keuangan yang ditentukan.
d. Cuti akademik diberikan selama-lamanya selama 2 (dua) semester dan tidak boleh diambil secara berturut-turut.
e. Cuti akademik diperhitungkan dalam batas lama studi.
f. Permohonan cuti diajukan kepada Rektor sesuai dengan jadwal yang tertera pada kalender akademik.
g. Permohonan cuti disertai dengan dokumen penunjang yang disetujui oleh Dosen Penasihat Akademik (DPA), Koordinator Program Studi, dan Dekan/Direktur Pascasarjana.";administrasi.cuti;peraturan administrasi akademik
saya maba semester 2, saya sakit habis kecelakaan dalam tahap pengobatan intensif apakah saya dapat mengajukan  permohonanan cuti akademik?;"Ketetuan Pengajuan Cuti Akademik
1. Mahasiswa dapat mengajukan cuti akademik antara lain dengan alasan keuangan dan/atau sakit.
2. Ketentuan pengajuan cuti adalah sebagai berikut
a. Mahasiswa sudah menempuh sekurang-kurangnya 4 (empat) semester
b. Mahasiswa yang karena alasan sakit/hamil dapat mengambil cuti akademik walaupun belum mencapai lama studi empat semester.
c. Mahasiswa sudah menyelesaikan kewajiban administrasi dan keuangan yang ditentukan.
d. Cuti akademik diberikan selama-lamanya selama 2 (dua) semester dan tidak boleh diambil secara berturut-turut.
e. Cuti akademik diperhitungkan dalam batas lama studi.
f. Permohonan cuti diajukan kepada Rektor sesuai dengan jadwal yang tertera pada kalender akademik.
g. Permohonan cuti disertai dengan dokumen penunjang yang disetujui oleh Dosen Penasihat Akademik (DPA), Koordinator Program Studi, dan Dekan/Direktur Pascasarjana.";administrasi.cuti;peraturan administrasi akademik
ttd atau paraf siapa yang di butuhkan untuk surat permohonan cuti?;"Ketetuan Pengajuan Cuti Akademik
1. Mahasiswa dapat mengajukan cuti akademik antara lain dengan alasan keuangan dan/atau sakit.
2. Ketentuan pengajuan cuti adalah sebagai berikut
a. Mahasiswa sudah menempuh sekurang-kurangnya 4 (empat) semester
b. Mahasiswa yang karena alasan sakit/hamil dapat mengambil cuti akademik walaupun belum mencapai lama studi empat semester.
c. Mahasiswa sudah menyelesaikan kewajiban administrasi dan keuangan yang ditentukan.
d. Cuti akademik diberikan selama-lamanya selama 2 (dua) semester dan tidak boleh diambil secara berturut-turut.
e. Cuti akademik diperhitungkan dalam batas lama studi.
f. Permohonan cuti diajukan kepada Rektor sesuai dengan jadwal yang tertera pada kalender akademik.
g. Permohonan cuti disertai dengan dokumen penunjang yang disetujui oleh Dosen Penasihat Akademik (DPA), Koordinator Program Studi, dan Dekan/Direktur Pascasarjana.";administrasi.cuti;peraturan administrasi akademik
untuk ketentuan nonaktif akademik apa aja?;"Ketetuan Pengajuan Cuti Akademik
1. Mahasiswa dapat mengajukan cuti akademik antara lain dengan alasan keuangan dan/atau sakit.
2. Ketentuan pengajuan cuti adalah sebagai berikut
a. Mahasiswa sudah menempuh sekurang-kurangnya 4 (empat) semester
b. Mahasiswa yang karena alasan sakit/hamil dapat mengambil cuti akademik walaupun belum mencapai lama studi empat semester.
c. Mahasiswa sudah menyelesaikan kewajiban administrasi dan keuangan yang ditentukan.
d. Cuti akademik diberikan selama-lamanya selama 2 (dua) semester dan tidak boleh diambil secara berturut-turut.
e. Cuti akademik diperhitungkan dalam batas lama studi.
f. Permohonan cuti diajukan kepada Rektor sesuai dengan jadwal yang tertera pada kalender akademik.
g. Permohonan cuti disertai dengan dokumen penunjang yang disetujui oleh Dosen Penasihat Akademik (DPA), Koordinator Program Studi, dan Dekan/Direktur Pascasarjana.";administrasi.cuti;peraturan administrasi akademik
untuk mengambil cuti, apakah harus ada persetujuan dari dosen wali?;"Ketetuan Pengajuan Cuti Akademik
1. Mahasiswa dapat mengajukan cuti akademik antara lain dengan alasan keuangan dan/atau sakit.
2. Ketentuan pengajuan cuti adalah sebagai berikut
a. Mahasiswa sudah menempuh sekurang-kurangnya 4 (empat) semester
b. Mahasiswa yang karena alasan sakit/hamil dapat mengambil cuti akademik walaupun belum mencapai lama studi empat semester.
c. Mahasiswa sudah menyelesaikan kewajiban administrasi dan keuangan yang ditentukan.
d. Cuti akademik diberikan selama-lamanya selama 2 (dua) semester dan tidak boleh diambil secara berturut-turut.
e. Cuti akademik diperhitungkan dalam batas lama studi.
f. Permohonan cuti diajukan kepada Rektor sesuai dengan jadwal yang tertera pada kalender akademik.
g. Permohonan cuti disertai dengan dokumen penunjang yang disetujui oleh Dosen Penasihat Akademik (DPA), Koordinator Program Studi, dan Dekan/Direktur Pascasarjana.";administrasi.cuti;peraturan administrasi akademik
apa saja syarat untuk pindah program studi?;"Mahasiswa Pindahan
1. UPN Veteran Yogyakarta memberi kesempatan mahasiswa pindah program studi di lingkungan UPN Veteran Yogyakarta satu kali pada akhir tahun pertama.
2. Pindah program studi sebagaimana dimaksud poin 1. tidak mengubah batas waktu studi.
3. Mahasiswa yang akan melaksanakan pindah program studi harus lulus seleksi Penerimaan Mahasiswa Baru pada program studi yang dituju di UPN Veteran Yogyakarta
4. Mahasiswa yang akan melaksanakan pindah program studi harus sudah melunasi kewajiban administrasi keuangan sampai dengan semester terakhir pada program studi yang akan ditinggalkan.
5. Nilai akademik yang telah diperoleh mahasiswa pindah Program studi pada Program studi sebelumnya tidak dapat diakui/dikonversi pada program studi baru.";administrasi.pindah;peraturan administrasi akademik
apa syarat pindah prodi?;"Mahasiswa Pindahan
1. UPN Veteran Yogyakarta memberi kesempatan mahasiswa pindah program studi di lingkungan UPN Veteran Yogyakarta satu kali pada akhir tahun pertama.
2. Pindah program studi sebagaimana dimaksud poin 1. tidak mengubah batas waktu studi.
3. Mahasiswa yang akan melaksanakan pindah program studi harus lulus seleksi Penerimaan Mahasiswa Baru pada program studi yang dituju di UPN Veteran Yogyakarta
4. Mahasiswa yang akan melaksanakan pindah program studi harus sudah melunasi kewajiban administrasi keuangan sampai dengan semester terakhir pada program studi yang akan ditinggalkan.
5. Nilai akademik yang telah diperoleh mahasiswa pindah Program studi pada Program studi sebelumnya tidak dapat diakui/dikonversi pada program studi baru.";administrasi.pindah;peraturan administrasi akademik
apa yang harus dilakukan ketika akan meninggalkan program studi?;"Mahasiswa Pindahan
1. UPN Veteran Yogyakarta memberi kesempatan mahasiswa pindah program studi di lingkungan UPN Veteran Yogyakarta satu kali pada akhir tahun pertama.
2. Pindah program studi sebagaimana dimaksud poin 1. tidak mengubah batas waktu studi.
3. Mahasiswa yang akan melaksanakan pindah program studi harus lulus seleksi Penerimaan Mahasiswa Baru pada program studi yang dituju di UPN Veteran Yogyakarta
4. Mahasiswa yang akan melaksanakan pindah program studi harus sudah melunasi kewajiban administrasi keuangan sampai dengan semester terakhir pada program studi yang akan ditinggalkan.
5. Nilai akademik yang telah diperoleh mahasiswa pindah Program studi pada Program studi sebelumnya tidak dapat diakui/dikonversi pada program studi baru.";administrasi.pindah;peraturan administrasi akademik
apakah ada seleksi ketika mau pindah program studi?;"Mahasiswa Pindahan
1. UPN Veteran Yogyakarta memberi kesempatan mahasiswa pindah program studi di lingkungan UPN Veteran Yogyakarta satu kali pada akhir tahun pertama.
2. Pindah program studi sebagaimana dimaksud poin 1. tidak mengubah batas waktu studi.
3. Mahasiswa yang akan melaksanakan pindah program studi harus lulus seleksi Penerimaan Mahasiswa Baru pada program studi yang dituju di UPN Veteran Yogyakarta
4. Mahasiswa yang akan melaksanakan pindah program studi harus sudah melunasi kewajiban administrasi keuangan sampai dengan semester terakhir pada program studi yang akan ditinggalkan.
5. Nilai akademik yang telah diperoleh mahasiswa pindah Program studi pada Program studi sebelumnya tidak dapat diakui/dikonversi pada program studi baru.";administrasi.pindah;peraturan administrasi akademik
Apakah saya bisa pindah program studi?;"Mahasiswa Pindahan
1. UPN Veteran Yogyakarta memberi kesempatan mahasiswa pindah program studi di lingkungan UPN Veteran Yogyakarta satu kali pada akhir tahun pertama.
2. Pindah program studi sebagaimana dimaksud poin 1. tidak mengubah batas waktu studi.
3. Mahasiswa yang akan melaksanakan pindah program studi harus lulus seleksi Penerimaan Mahasiswa Baru pada program studi yang dituju di UPN Veteran Yogyakarta
4. Mahasiswa yang akan melaksanakan pindah program studi harus sudah melunasi kewajiban administrasi keuangan sampai dengan semester terakhir pada program studi yang akan ditinggalkan.
5. Nilai akademik yang telah diperoleh mahasiswa pindah Program studi pada Program studi sebelumnya tidak dapat diakui/dikonversi pada program studi baru.";administrasi.pindah;peraturan administrasi akademik
bagaimana aturan pindah program studi?;"Mahasiswa Pindahan
1. UPN Veteran Yogyakarta memberi kesempatan mahasiswa pindah program studi di lingkungan UPN Veteran Yogyakarta satu kali pada akhir tahun pertama.
2. Pindah program studi sebagaimana dimaksud poin 1. tidak mengubah batas waktu studi.
3. Mahasiswa yang akan melaksanakan pindah program studi harus lulus seleksi Penerimaan Mahasiswa Baru pada program studi yang dituju di UPN Veteran Yogyakarta
4. Mahasiswa yang akan melaksanakan pindah program studi harus sudah melunasi kewajiban administrasi keuangan sampai dengan semester terakhir pada program studi yang akan ditinggalkan.
5. Nilai akademik yang telah diperoleh mahasiswa pindah Program studi pada Program studi sebelumnya tidak dapat diakui/dikonversi pada program studi baru.";administrasi.pindah;peraturan administrasi akademik
Bagaimana cara beralih program studi ?;"Mahasiswa Pindahan
1. UPN Veteran Yogyakarta memberi kesempatan mahasiswa pindah program studi di lingkungan UPN Veteran Yogyakarta satu kali pada akhir tahun pertama.
2. Pindah program studi sebagaimana dimaksud poin 1. tidak mengubah batas waktu studi.
3. Mahasiswa yang akan melaksanakan pindah program studi harus lulus seleksi Penerimaan Mahasiswa Baru pada program studi yang dituju di UPN Veteran Yogyakarta
4. Mahasiswa yang akan melaksanakan pindah program studi harus sudah melunasi kewajiban administrasi keuangan sampai dengan semester terakhir pada program studi yang akan ditinggalkan.
5. Nilai akademik yang telah diperoleh mahasiswa pindah Program studi pada Program studi sebelumnya tidak dapat diakui/dikonversi pada program studi baru.";administrasi.pindah;peraturan administrasi akademik
bagaimana cara pindah jurusan?;"Mahasiswa Pindahan
1. UPN Veteran Yogyakarta memberi kesempatan mahasiswa pindah program studi di lingkungan UPN Veteran Yogyakarta satu kali pada akhir tahun pertama.
2. Pindah program studi sebagaimana dimaksud poin 1. tidak mengubah batas waktu studi.
3. Mahasiswa yang akan melaksanakan pindah program studi harus lulus seleksi Penerimaan Mahasiswa Baru pada program studi yang dituju di UPN Veteran Yogyakarta
4. Mahasiswa yang akan melaksanakan pindah program studi harus sudah melunasi kewajiban administrasi keuangan sampai dengan semester terakhir pada program studi yang akan ditinggalkan.
5. Nilai akademik yang telah diperoleh mahasiswa pindah Program studi pada Program studi sebelumnya tidak dapat diakui/dikonversi pada program studi baru.";administrasi.pindah;peraturan administrasi akademik
bagaimana cara pindah program studi?;"Mahasiswa Pindahan
1. UPN Veteran Yogyakarta memberi kesempatan mahasiswa pindah program studi di lingkungan UPN Veteran Yogyakarta satu kali pada akhir tahun pertama.
2. Pindah program studi sebagaimana dimaksud poin 1. tidak mengubah batas waktu studi.
3. Mahasiswa yang akan melaksanakan pindah program studi harus lulus seleksi Penerimaan Mahasiswa Baru pada program studi yang dituju di UPN Veteran Yogyakarta
4. Mahasiswa yang akan melaksanakan pindah program studi harus sudah melunasi kewajiban administrasi keuangan sampai dengan semester terakhir pada program studi yang akan ditinggalkan.
5. Nilai akademik yang telah diperoleh mahasiswa pindah Program studi pada Program studi sebelumnya tidak dapat diakui/dikonversi pada program studi baru.";administrasi.pindah;peraturan administrasi akademik
bagaimana prosedur beralih program studi?;"Mahasiswa Pindahan
1. UPN Veteran Yogyakarta memberi kesempatan mahasiswa pindah program studi di lingkungan UPN Veteran Yogyakarta satu kali pada akhir tahun pertama.
2. Pindah program studi sebagaimana dimaksud poin 1. tidak mengubah batas waktu studi.
3. Mahasiswa yang akan melaksanakan pindah program studi harus lulus seleksi Penerimaan Mahasiswa Baru pada program studi yang dituju di UPN Veteran Yogyakarta
4. Mahasiswa yang akan melaksanakan pindah program studi harus sudah melunasi kewajiban administrasi keuangan sampai dengan semester terakhir pada program studi yang akan ditinggalkan.
5. Nilai akademik yang telah diperoleh mahasiswa pindah Program studi pada Program studi sebelumnya tidak dapat diakui/dikonversi pada program studi baru.";administrasi.pindah;peraturan administrasi akademik
bagaimana proses pindah dan apa saja syarat pindah program studi?;"Mahasiswa Pindahan
1. UPN Veteran Yogyakarta memberi kesempatan mahasiswa pindah program studi di lingkungan UPN Veteran Yogyakarta satu kali pada akhir tahun pertama.
2. Pindah program studi sebagaimana dimaksud poin 1. tidak mengubah batas waktu studi.
3. Mahasiswa yang akan melaksanakan pindah program studi harus lulus seleksi Penerimaan Mahasiswa Baru pada program studi yang dituju di UPN Veteran Yogyakarta
4. Mahasiswa yang akan melaksanakan pindah program studi harus sudah melunasi kewajiban administrasi keuangan sampai dengan semester terakhir pada program studi yang akan ditinggalkan.
5. Nilai akademik yang telah diperoleh mahasiswa pindah Program studi pada Program studi sebelumnya tidak dapat diakui/dikonversi pada program studi baru.";administrasi.pindah;peraturan administrasi akademik
